ImageNumber,ObjectNumber,FileName_Mask,FileName_cell,PathName_Mask,PathName_cell,Intensity_IntegratedIntensityEdge_cell,Intensity_IntegratedIntensity_cell,Intensity_LowerQuartileIntensity_cell,Intensity_MADIntensity_cell,Intensity_MassDisplacement_cell,Intensity_MaxIntensityEdge_cell,Intensity_MaxIntensity_cell,Intensity_MeanIntensityEdge_cell,Intensity_MeanIntensity_cell,Intensity_MedianIntensity_cell,Intensity_MinIntensityEdge_cell,Intensity_MinIntensity_cell,Intensity_StdIntensityEdge_cell,Intensity_StdIntensity_cell,Intensity_UpperQuartileIntensity_cell,Location_CenterMassIntensity_X_cell,Location_CenterMassIntensity_Y_cell,Location_CenterMassIntensity_Z_cell,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cell,Location_MaxIntensity_Y_cell,Location_MaxIntensity_Z_cell,Number_Object_Number
4,1,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.148760206997395,139.51140620559454,0.25920501351356506,0.04161134362220764,0.41492532520616654,0.3458152115345001,0.43732357025146484,0.22023676235128092,0.29810129531109947,0.2995345890522003,0.09054703265428543,0.09054703265428543,0.06395538084852531,0.062209747892830375,0.34224459528923035,9.707323278533892,9.661609807622334,0.0,9.987179487179487,9.967948717948717,0,10.0,2.0,0.0,1
4,2,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,5.255558121018112,28.287434219382703,0.09321736544370651,0.04531928896903992,0.38183568588341754,0.2824445068836212,0.29330891370773315,0.13138895302545278,0.14003680306625102,0.14024567604064941,0.013870450668036938,0.013870450668036938,0.06729327005678407,0.06007555774463032,0.1810711845755577,73.31395386162056,7.585100884922413,0.0,73.6930693069307,7.53960396039604,0,75.0,12.0,0.0,2
4,3,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,1.625909835100174,5.898039229214191,0.08325322717428207,0.04608225077390671,0.14655735853185767,0.18361181020736694,0.32686349749565125,0.125069987315398,0.14745098073035479,0.14903487265110016,0.05394064262509346,0.030548561364412308,0.03971983781407121,0.07478394977431689,0.18361181020736694,110.4520319286457,1.3879900086079655,0.0,110.4,1.525,0,108.0,2.0,0.0,3
4,4,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,4.100846905261278,25.21823451295495,0.128358893096447,0.04263371229171753,0.20931736414588206,0.2888075113296509,0.3351796865463257,0.15188321871338067,0.17272763365037638,0.17102311551570892,0.04567025229334831,0.04498359560966492,0.05880925182677646,0.05867787032728033,0.21280232071876526,159.27175547423175,3.6931802100573283,0.0,159.4794520547945,3.719178082191781,0,153.0,0.0,0.0,4
4,5,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,9.865873171016574,57.61116950586438,0.10772869177162647,0.06009765714406967,0.4861527521199989,0.38789960741996765,0.38789960741996765,0.16721818933926397,0.16698889711844747,0.1684367135167122,0.026276035234332085,0.009674220345914364,0.0828830620231182,0.07755111531454063,0.2233615592122078,214.09604804274272,5.9061354818002165,0.0,213.77391304347827,5.542028985507247,0,225.0,16.0,0.0,5
4,6,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,0.18641947209835052,0.18641947209835052,0.18641947209835052,0.0,0.0,0.18641947209835052,0.18641947209835052,0.18641947209835052,0.18641947209835052,0.18641947209835052,0.18641947209835052,0.18641947209835052,0.0,0.0,0.18641947209835052,387.0,0.0,0.0,387.0,0.0,0,387.0,0.0,0.0,6
4,7,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,0.26143282651901245,0.26143282651901245,0.26143282651901245,0.0,0.0,0.26143282651901245,0.26143282651901245,0.26143282651901245,0.26143282651901245,0.26143282651901245,0.26143282651901245,0.26143282651901245,0.0,0.0,0.26143282651901245,414.0,0.0,0.0,414.0,0.0,0,414.0,0.0,0.0,7
4,8,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,0.11987487971782684,0.11987487971782684,0.11987487971782684,0.0,0.0,0.11987487971782684,0.11987487971782684,0.11987487971782684,0.11987487971782684,0.11987487971782684,0.11987487971782684,0.11987487971782684,0.0,0.0,0.11987487971782684,436.0,0.0,0.0,436.0,0.0,0,436.0,0.0,0.0,8
4,9,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.846524767577648,48.70159459859133,0.20265507698059082,0.0320286899805069,0.09266892820259526,0.3038986921310425,0.3857327997684479,0.2106315420851821,0.23302198372531735,0.23121996223926544,0.10864423960447311,0.10864423960447311,0.043680768115581074,0.043626925034073005,0.26796749234199524,587.0666998067737,6.738702646569181,0.0,587.1052631578947,6.822966507177034,0,589.0,6.0,0.0,9
4,10,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.048203274607658,20.78406961262226,0.21779964864253998,0.023620963096618652,0.0979527935206501,0.31186389923095703,0.329549103975296,0.24388494771538358,0.24167522805374722,0.2396887093782425,0.13997100293636322,0.13997100293636322,0.04055866461922521,0.03463952752150067,0.26445411145687103,1424.9281512893483,4.245223489607956,0.0,1424.860465116279,4.174418604651163,0,1428.0,4.0,0.0,10
4,11,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,1.2130769938230515,1.2130769938230515,0.22718394920229912,0.01401541382074356,0.05966905437666848,0.2881819009780884,0.2881819009780884,0.2426153987646103,0.2426153987646103,0.23823148012161255,0.2228885293006897,0.2228885293006897,0.023959995937998975,0.023959995937998975,0.27722591906785965,1434.5610007633259,0.7548396679701346,0.0,1434.6,0.8,0,1434.0,0.0,0.0,11
4,12,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,2.333928406238556,3.153688833117485,0.24762341380119324,0.022842735052108765,0.06987720355663449,0.3212481737136841,0.3212481737136841,0.25932537847095066,0.2628074027597904,0.270466148853302,0.1920805722475052,0.1920805722475052,0.03383356058907546,0.03500326420518229,0.287113755941391,1445.931390543326,1.5132501332743653,0.0,1446.0,1.5,0,1445.0,2.0,0.0,12
4,13,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,9.940718673169613,109.93727013468742,0.18506904691457748,0.0479438453912735,0.8663456027677703,0.3017471432685852,0.43277639150619507,0.19881437346339226,0.231935169060522,0.22919051349163055,0.08793774247169495,0.03662165254354477,0.052851446027839824,0.06613437735819004,0.2805142402648926,1815.9339935981916,5.985376301160764,0.0,1816.6181434599157,6.5168776371308015,0,1812.0,9.0,0.0,13
4,14,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,1.2403601109981537,1.2403601109981537,0.29407188296318054,0.04451054334640503,0.05546714609761878,0.347112238407135,0.347112238407135,0.3100900277495384,0.3100900277495384,0.33858242630958557,0.26059356331825256,0.26059356331825256,0.03496048416167282,0.03496048416167282,0.347112238407135,1897.516933845006,0.44718097701084386,0.0,1897.5,0.5,0,1898.0,0.0,0.0,14
4,15,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,12.32361338287592,102.8692759051919,0.17797359824180603,0.041184112429618835,0.10903455070217034,0.3851377069950104,0.5014724731445312,0.2124760928082055,0.2226607703575582,0.21789883077144623,0.08715953677892685,0.06562905013561249,0.06521177818812489,0.06411455020850337,0.2600213587284088,1961.0358940292306,7.998042277832875,0.0,1961.1406926406926,8.028138528138529,0,1970.0,12.0,0.0,15
4,16,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.493720896542072,62.15115598961711,0.1808117777109146,0.04504463076591492,0.5499216545111624,0.2732738256454468,0.4635080397129059,0.18071746588387388,0.2268290364584566,0.22694742679595947,0.039032578468322754,0.039032578468322754,0.05663608710379748,0.07090044531634404,0.2704814225435257,2205.7881034005422,3.2242101532108904,0.0,2205.2700729927005,3.408759124087591,0,2206.0,3.0,0.0,16
4,17,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,29.633798748254776,217.99615492671728,0.2106393538415432,0.03325704485177994,0.368163756027782,0.3363088369369507,0.46848249435424805,0.21630510035222464,0.24466459587734823,0.24505989253520966,0.0787212923169136,0.0787212923169136,0.05357197030836693,0.05192854849071963,0.27759212255477905,2265.1173987212524,13.17991732362325,0.0,2265.4455667789002,13.346801346801346,0,2252.0,10.0,0.0,17
4,18,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,18.93472182750702,159.0946971103549,0.20466162636876106,0.037682145833969116,1.402507996832873,0.38768595457077026,0.43401235342025757,0.22276143326478845,0.2436365958810948,0.2479057013988495,0.07035934925079346,0.07035934925079346,0.06551337999947947,0.0591873928840261,0.28328755497932434,2300.233786939017,5.873640449439054,0.0,2299.0612557427257,6.643185298621746,0,2322.0,2.0,0.0,18
4,19,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,17.72761119902134,148.00209066271782,0.26279088854789734,0.027206838130950928,0.32350567903353084,0.39147019386291504,0.40578317642211914,0.28139065395271967,0.28906658332562074,0.2894178628921509,0.18603800237178802,0.1568474918603897,0.04935021129938841,0.03997318795103155,0.3171129822731018,2383.0519073922983,8.353589226640189,0.0,2383.193359375,8.64453125,0,2384.0,1.0,0.0,19
4,20,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,14.89732201397419,115.27762244641781,0.3111848533153534,0.02842755615711212,0.47343571715259763,0.40708017349243164,0.4737468659877777,0.3169642981696636,0.34005198361775163,0.3330891877412796,0.23404288291931152,0.23404288291931152,0.03810848886522333,0.044282333418817266,0.3654192388057709,2429.045021931074,5.709051522333747,0.0,2428.5722713864307,5.734513274336283,0,2436.0,7.0,0.0,20
4,21,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,14.293186910450459,54.6435493119061,0.1432974711060524,0.03587396442890167,0.12274769018767061,0.28053712844848633,0.3321278691291809,0.17866483638063074,0.17857369056178463,0.17990386486053467,0.025833524763584137,0.00950637087225914,0.05151729339992699,0.053108094920156154,0.21457237005233765,484.0472353763126,9.0373961447877,0.0,484.1143790849673,8.934640522875817,0,481.0,9.0,0.0,21
4,22,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,23.544747039675713,191.44931718707085,0.28149843215942383,0.026825368404388428,0.34957253359815027,0.4283665120601654,0.43939879536628723,0.30577593558020405,0.3097885391376551,0.31210803985595703,0.2209353744983673,0.1756618618965149,0.04502545610590404,0.04107343554883613,0.33757534623146057,2357.6969173633347,11.364294921677283,0.0,2357.4093851132684,11.563106796116505,0,2368.0,5.0,0.0,22
4,23,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,0.9863126426935196,0.9863126426935196,0.23492790758609772,0.02171356976032257,0.010215409620454412,0.2661020755767822,0.2661020755767822,0.2465781606733799,0.2465781606733799,0.2566414773464203,0.22864118218421936,0.22864118218421936,0.015329034460261385,0.015329034460261385,0.2661020755767822,1271.0063739681818,3.5079829269901865,0.0,1271.0,3.5,0,1271.0,4.0,0.0,23
4,24,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,24.62809193134308,199.09620800614357,0.21417562663555145,0.034744784235954285,0.504298642042899,0.3532311022281647,0.42096590995788574,0.22389174483039162,0.24887026000767945,0.24875257909297943,0.06971847265958786,0.06971847265958786,0.046232549282926826,0.05010115989440047,0.2834973633289337,1503.2448278101153,13.13524632562276,0.0,1503.6175,13.475,0,1489.0,20.0,0.0,24
4,25,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,9.88761731237173,67.77618083357811,0.18950942158699036,0.04464788734912872,0.3018411431140579,0.37280842661857605,0.399465948343277,0.21494820244286372,0.23371096839164865,0.22790874540805817,0.10878156870603561,0.040436409413814545,0.058287507129068356,0.06504030977495562,0.2801937907934189,2026.703472428186,7.182346809802233,0.0,2026.4103448275862,7.110344827586207,0,2022.0,13.0,0.0,25
4,26,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,15.479575842618942,159.57407485041767,0.22129778191447258,0.04633401334285736,0.28871525009855015,0.3497062623500824,0.4912947416305542,0.21204898414546497,0.2664007927385938,0.2729839086532593,0.05040054768323898,0.0017700465396046638,0.06578534633648435,0.07194542003133869,0.31252003461122513,355.4642856432911,14.543128224915646,0.0,355.7429048414023,14.467445742904841,0,354.0,29.0,0.0,26
4,27,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,7.685481058899313,63.01791407028213,0.16114671155810356,0.04383917152881622,0.13503131665666593,0.2886701822280884,0.3516441583633423,0.1874507575341296,0.20797991442337338,0.21136797219514847,0.007217517588287592,0.007217517588287592,0.07048526102863897,0.06507257126975324,0.2500572204589844,1869.17554387555,7.271321760275767,0.0,1869.2937293729374,7.336633663366337,0,1875.0,5.0,0.0,27
4,28,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,24.68801413476467,446.3257497996092,0.28988325595855713,0.07561607658863068,0.7401596875633903,0.41832607984542847,0.5924620628356934,0.24688014134764671,0.36614089401116423,0.37421225011348724,0.11348134279251099,0.11348134279251099,0.055059596559728606,0.09370446945662912,0.4405127167701721,1369.8716164032562,15.310756337957852,0.0,1369.4257588187038,15.901558654634947,0,1380.0,6.0,0.0,28
4,29,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,12.996673554182053,69.35976199060678,0.20756084471940994,0.02987717092037201,0.37857678485508645,0.29253071546554565,0.3492484986782074,0.22028260261325514,0.23591755779117954,0.2376287430524826,0.1286945939064026,0.10237278044223785,0.038741380647526316,0.04623252742330168,0.26746776700019836,1473.8026706507446,10.413651582331953,0.0,1473.4251700680272,10.4421768707483,0,1476.0,14.0,0.0,29
4,30,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.373235702514648,30.071152854710817,0.12684443220496178,0.04770733416080475,0.32002732567227754,0.3185625970363617,0.33832302689552307,0.17815395111733295,0.1758546950567884,0.17464713752269745,0.05755703151226044,0.03300526365637779,0.0666183577394603,0.0651021130006521,0.22219805791974068,1979.720855859276,9.284400638231908,0.0,1980.0350877192982,9.345029239766081,0,1978.0,10.0,0.0,30
4,31,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,23.43454648926854,70.48508437536657,0.1432517021894455,0.034531161189079285,0.05122664940842611,0.39130234718322754,0.39130234718322754,0.18747637191414834,0.17799263731153173,0.1763332635164261,0.06187533214688301,0.028976881876587868,0.057936728419137516,0.055131887461024515,0.21106278896331787,525.1099633250165,10.058718533492081,0.0,525.1590909090909,10.073232323232324,0,510.0,17.0,0.0,31
4,32,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,20.094209171831608,136.6270999610424,0.1898527443408966,0.04362553358078003,0.15716698583992442,0.424917995929718,0.5054550766944885,0.20931467887324592,0.23475446728701443,0.23405814170837402,0.08545052260160446,0.04185549542307854,0.05367662340808206,0.062945801175613,0.2775997519493103,563.1714374007227,14.046267329117448,0.0,563.0223367697595,13.996563573883162,0,561.0,17.0,0.0,32
4,33,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,16.395361311733723,118.89860394969583,0.1582207977771759,0.04397650063037872,0.9220832703497328,0.3955291211605072,0.3959868848323822,0.20494201639667153,0.20642118741266635,0.20328068733215332,0.05674830079078674,0.037323568016290665,0.0681827848466355,0.06982985829272309,0.24707408249378204,2120.297574827226,9.845848444363524,0.0,2119.3888888888887,9.68923611111111,0,2134.0,11.0,0.0,33
4,34,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.286869660019875,21.598184198141098,0.15931181982159615,0.02530708909034729,0.5596708635381493,0.347905695438385,0.347905695438385,0.2021187721956067,0.19113437343487696,0.1823987141251564,0.1419394165277481,0.09373617172241211,0.04793955827430344,0.048298683038741595,0.21408788859844208,1535.4610661009224,13.813391899903003,0.0,1535.575221238938,13.265486725663717,0,1532.0,21.0,0.0,34
4,35,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,17.10205240920186,159.78970001265407,0.2059815376996994,0.05027848482131958,0.312684191910976,0.4471656382083893,0.5131456255912781,0.23110881634056568,0.25607323719976616,0.2573128938674927,0.05888456478714943,0.05888456478714943,0.07219581562669888,0.07457085082909519,0.30565345287323,305.51644881485385,12.95316696361859,0.0,305.65544871794873,12.673076923076923,0,304.0,6.0,0.0,35
4,36,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,36.791683707386255,229.76063188537955,0.23093003034591675,0.03405815362930298,0.7450172300569563,0.425558865070343,0.43297475576400757,0.24859245748233957,0.262283826353173,0.2669565975666046,0.040375370532274246,0.040375370532274246,0.06486490879057913,0.05591813180005829,0.2981765568256378,2307.2281165052486,28.338427114286876,0.0,2306.5045662100456,28.515981735159816,0,2320.0,27.0,0.0,36
4,37,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,13.450019070412964,85.64824895467609,0.14208056405186653,0.07897306978702545,1.2720165440287017,0.3985046148300171,0.4611886739730835,0.18680582042240226,0.22246298429786,0.23562218248844147,0.006301976274698973,0.006301976274698973,0.09859333250305455,0.10258944670107426,0.30355917662382126,244.9164934164162,15.183841925044613,0.0,243.66233766233765,14.971428571428572,0,253.0,20.0,0.0,37
4,38,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.3561150431633,23.871152743697166,0.21646448969841003,0.030487537384033203,0.06913494215460513,0.32439154386520386,0.3942168354988098,0.2321143067545361,0.24865784108017883,0.24374762177467346,0.13281452655792236,0.13281452655792236,0.045056706314580745,0.048845754975787296,0.27867552638053894,1430.4742686505415,16.62344572827164,0.0,1430.4270833333333,16.572916666666668,0,1432.0,18.0,0.0,38
4,39,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,1.967818707227707,1.967818707227707,0.2639619931578636,0.041252776980400085,0.033355188330594636,0.3351186513900757,0.3351186513900757,0.2811169581753867,0.2811169581753867,0.2896467447280884,0.20070192217826843,0.20070192217826843,0.043657670465963895,0.043657670465963895,0.3338712230324745,1934.3168167417975,17.01205013751601,0.0,1934.2857142857142,17.0,0,1935.0,17.0,0.0,39
4,40,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,20.865125581622124,116.10887344181538,0.28087663650512695,0.024147406220436096,0.35376115764461824,0.3997863829135895,0.3997863829135895,0.30239312437133514,0.30315632752432214,0.3077821135520935,0.17833219468593597,0.17833219468593597,0.05435115873366748,0.03976060847085281,0.3296215832233429,2406.075785548332,11.739455610191898,0.0,2405.723237597911,11.71018276762402,0,2416.0,14.0,0.0,40
4,41,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,23.02674910798669,88.52014959231019,0.1570611149072647,0.04049743711948395,0.2748045942689715,0.3457084000110626,0.38870832324028015,0.19680982143578366,0.19758961962569238,0.19726863503456116,0.03979552909731865,0.03350881114602089,0.05675395760842808,0.05930145347627311,0.2381628155708313,497.5576618472631,19.14219567978468,0.0,497.65401785714283,19.399553571428573,0,499.0,15.0,0.0,41
4,42,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,67.83115887641907,507.2535439953208,0.2549477517604828,0.048340559005737305,2.3667817338374375,0.5140459537506104,0.5175554752349854,0.28262982865174613,0.3044739159635779,0.3013198971748352,0.09762722253799438,0.09762722253799438,0.07791615322814456,0.06715830275334658,0.35165178775787354,1255.710644817586,18.08615188041941,0.0,1257.9699879951982,17.381152460984392,0,1235.0,20.0,0.0,42
4,43,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,0.6216830760240555,0.6216830760240555,0.17435339465737343,0.051132991909980774,0.11983293944344277,0.27443352341651917,0.27443352341651917,0.2072276920080185,0.2072276920080185,0.22475776821374893,0.17216753959655762,0.17216753959655762,0.04753659201290239,0.04753659201290239,0.27443352341651917,1816.5585636251003,18.281625831172224,0.0,1816.6666666666667,18.333333333333332,0,1816.0,18.0,0.0,43
4,44,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,1.0075226873159409,1.0075226873159409,0.15470359474420547,0.021606773138046265,0.048595066458725945,0.19633783400058746,0.19633783400058746,0.16792044788599014,0.16792044788599014,0.18171969056129456,0.13115128874778748,0.13115128874778748,0.02308770264784696,0.02308770264784696,0.19262225925922394,1523.4514448350803,19.498031131352175,0.0,1523.5,19.5,0,1523.0,19.0,0.0,44
4,45,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.175936535000801,33.994293205440044,0.18164339661598206,0.0637521892786026,0.4878125991689473,0.2979781925678253,0.45368123054504395,0.18581673943183638,0.2463354580104351,0.2542000412940979,0.046753644943237305,0.046753644943237305,0.06045272460598633,0.08607976258221475,0.30794231593608856,2097.6250610529914,19.13233542984012,0.0,2097.644927536232,18.644927536231883,0,2098.0,19.0,0.0,45
4,46,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,19.262134723365307,147.86587326601148,0.14721523225307465,0.04475471377372742,0.13644905620282752,0.37085527181625366,0.4100251793861389,0.18344890212728865,0.19079467518195029,0.18953993916511536,0.024414435029029846,0.01428244449198246,0.0704632620490304,0.06696460926556859,0.23720912635326385,421.5908877689228,16.32903866964053,0.0,421.7187096774193,16.281290322580645,0,423.0,45.0,0.0,46
4,47,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,0.5839322507381439,0.5839322507381439,0.29196612536907196,0.04589912295341492,0.03930175366696531,0.3149156868457794,0.3149156868457794,0.29196612536907196,0.29196612536907196,0.3149156868457794,0.2690165638923645,0.2690165638923645,0.02294956147670746,0.02294956147670746,0.3149156868457794,2019.0,20.460698246333035,0.0,2019.0,20.5,0,2019.0,20.0,0.0,47
